nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,licenca,possui_ci_cd,total_linguagens
vitejs/vite,6.32,6584,713,0,TypeScript,0.9426,8655,MIT License,true,14
tonsky/FiraCode,11.76,145,29,19,Clojure,0.6957,3186,SIL Open Font License 1.1,true,8
lobehub/lobehub,3.24,7820,1000,0,TypeScript,0.9538,15810,Other,true,12
mlabonne/llm-course,3.16,2,0,192,Não informado,0.3333,9507,Apache License 2.0,false,0
jesseduffield/lazygit,8.25,2045,186,0,Go,0.6836,2986,MIT License,true,6
spring-projects/spring-boot,13.82,200,352,0,Java,0.9878,42094,Apache License 2.0,true,15
netdata/netdata,13.16,12889,138,0,Go,0.9750,6580,GNU General Public License v3.0,true,20
swisskyrepo/PayloadsAllTheThings,9.83,560,5,7,Python,0.0000,17282,MIT License,true,12
bytedance/deer-flow,1.28,1766,1,0,Python,0.6948,10965,MIT License,true,12
hoppscotch/hoppscotch,6.99,2140,107,0,TypeScript,0.7740,6032,MIT License,true,14
anuraghazra/github-readme-stats,6.10,1569,0,16,JavaScript,0.8796,36682,MIT License,true,2
TapXWorld/ChinaTextbook,6.61,1,0,302,Roff,0.4255,18118,Não informado,false,1
d2l-ai/d2l-zh,8.98,1019,16,747,Python,0.0000,12328,Apache License 2.0,true,4
Egonex-AI/Understand-Anything,0.42,123,8,5,TypeScript,0.5579,6679,MIT License,true,8
doocs/advanced-java,7.86,94,1,52,Java,1.0000,19172,Creative Commons Attribution Share Alike 4.0 International,true,1
Z4nzu/hackingtool,6.35,59,0,14,Python,0.7793,8961,MIT License,true,4
coder/code-server,7.47,1747,252,4,TypeScript,0.9614,6806,MIT License,true,9
ventoy/Ventoy,6.43,302,115,10,C,0.6837,4896,GNU General Public License v3.0,true,18
paperclipai/paperclip,0.46,1704,19,0,TypeScript,0.2574,14382,MIT License,true,9
unclecode/crawl4ai,2.27,217,20,1,Python,0.9685,8111,Apache License 2.0,true,4
awesomedata/awesome-public-datasets,11.74,188,1,12,Não informado,0.3769,11756,MIT License,false,0
elastic/elasticsearch,16.52,95323,260,0,Java,0.8988,26044,Other,true,21
opendatalab/MinerU,2.46,1539,186,0,Python,0.9769,6544,Other,true,2
tensorflow/models,10.53,2345,51,1,Python,0.8530,44901,Other,true,10
dair-ai/Prompt-Engineering-Guide,3.67,342,0,158,MDX,0.2902,8514,MIT License,true,6
nomic-ai/gpt4all,3.39,938,38,446,C++,0.6715,8305,MIT License,true,13
Leonxlnx/taste-skill,0.49,8,0,24,JavaScript,0.3000,5272,MIT License,false,2
FortAwesome/Font-Awesome,14.50,222,65,32,JavaScript,0.9854,12190,Other,false,3
MisterBooo/LeetCodeAnimation,7.69,63,0,65,Java,0.7049,13885,Não informado,true,3
nestjs/nest,9.53,8673,158,0,TypeScript,0.9990,8519,MIT License,true,3
grafana/grafana,12.68,69274,635,0,TypeScript,0.9389,14562,GNU Affero General Public License v3.0,true,23
rtk-ai/rtk,0.56,546,276,1,Rust,0.3129,4795,Apache License 2.0,true,5
sdmg15/Best-websites-a-programmer-should-visit,9.45,430,0,334,Não informado,0.5676,8559,MIT License,false,0
