nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,total_estrelas,razao_fork_estrela,licenca,possui_ci_cd,total_linguagens
xingshaocheng/architect-awesome,8.39,49,0,867,Não informado,0.3239,17626,60842,0.2897011932546596,Não informado,false,0
pocketbase/pocketbase,4.14,55,287,2,Go,0.9907,3662,60829,0.06020154860346216,MIT License,true,5
nuxt/nuxt,9.83,8343,291,0,TypeScript,0.9788,5803,60801,0.09544250916925709,MIT License,true,6
atom/atom,14.60,3937,538,1331,JavaScript,0.9438,17163,60771,0.2824208915436639,MIT License,false,8
microsoft/autogen,3.02,2537,98,133,Python,0.8179,9154,60641,0.15095397503339325,Creative Commons Attribution 4.0 International,true,10
marktext/marktext,8.79,1371,47,30,TypeScript,0.8152,4495,60630,0.07413821540491505,MIT License,true,6
pi-hole/pi-hole,12.22,2240,126,0,Shell,0.9927,3295,60621,0.054354101713927516,Other,true,3
ghostty-org/ghostty,4.41,4560,1,0,Zig,0.9402,3353,60299,0.05560622895902088,MIT License,true,20
sharkdp/bat,8.35,1665,43,15,Rust,0.7994,1633,60271,0.027094290786613795,Apache License 2.0,true,5
adam-p/markdown-here,14.29,27,17,369,JavaScript,0.5260,11030,60247,0.18307965541852705,MIT License,false,4
spring-projects/spring-framework,15.72,946,365,0,Java,0.9874,38772,60212,0.6439247990433801,Apache License 2.0,true,14
CorentinJ/Real-Time-Voice-Cloning,7.25,51,0,170,Python,0.8494,9391,60112,0.15622504657971786,Other,true,1
termux/termux-app,10.84,178,95,2,Java,0.8410,7324,59824,0.12242578229473121,Other,true,6
jquery/jquery,17.40,903,13,6,JavaScript,0.9695,20374,59773,0.3408562394392117,MIT License,true,5
starship/starship,7.40,3206,141,0,Rust,0.7042,2645,59617,0.04436653974537464,ISC License,true,8
meta-llama/llama,3.53,54,0,576,Python,0.5798,9789,59578,0.16430561616704153,Other,false,2
shadowsocks/shadowsocks-windows,13.61,290,55,602,C#,0.9353,16192,59567,0.27182836134101096,Other,false,3
FiloSottile/mkcert,8.17,53,14,743,Go,0.6760,3132,59501,0.05263777079376817,"BSD 3-Clause ""New"" or ""Revised"" License",true,1
rclone/rclone,12.45,2499,131,0,Go,0.8410,5340,59406,0.08988991011008989,MIT License,true,11
mvanhorn/last30days-skill,0.59,472,41,3,Python,0.6360,5188,59330,0.08744311478172931,MIT License,true,4
penpot/penpot,10.66,6961,85,0,Clojure,0.7855,4002,59213,0.0675865097191495,Mozilla Public License 2.0,true,18
meilisearch/meilisearch,8.34,2532,330,0,Rust,0.9011,2684,59101,0.045413783184717685,Other,true,3
pathwaycom/llm-app,3.11,50,0,52,Jupyter Notebook,0.7500,1477,58988,0.02503899098121652,MIT License,true,3
rust-unofficial/awesome-rust,12.11,1923,0,2,Rust,0.9533,3566,58982,0.0604591231223085,Creative Commons Zero v1.0 Universal,true,1
tiimgreen/github-cheat-sheet,12.37,129,0,863,Não informado,0.6364,5447,58727,0.09275120472695694,MIT License,false,0
rails/rails,18.38,26900,168,0,Ruby,0.9739,22369,58719,0.38094994805769855,MIT License,true,7
MemPalace/mempalace,0.39,646,16,0,Python,0.5765,7523,58665,0.1282365976306145,MIT License,true,9
pmndrs/zustand,7.38,930,105,1,TypeScript,0.9971,2185,58612,0.03727905548351873,MIT License,true,2
angular/angular.js,16.64,790,0,866,JavaScript,0.9569,27014,58532,0.4615253194833595,MIT License,false,5
usestrix/strix,1.06,380,26,0,Python,0.5836,6376,58528,0.10893931109896118,Apache License 2.0,true,9
makeplane/plane,3.77,6451,64,0,TypeScript,0.5805,5529,58351,0.09475416016863464,GNU Affero General Public License v3.0,true,8
FoundationAgents/OpenManus,1.47,116,3,4,Python,0.6379,10087,58083,0.17366527211060034,MIT License,true,3
ultralytics/yolov5,6.27,2322,10,2,Python,0.9968,17474,57928,0.30165032454080926,GNU Affero General Public License v3.0,true,3
crewAIInc/crewAI,2.83,2152,231,0,Python,0.9545,8257,57646,0.1432363043402838,MIT License,true,5
go-gitea/gitea,9.82,19817,235,0,Go,0.8534,7069,57621,0.12268096700855591,MIT License,true,13
h5bp/html5-boilerplate,16.59,846,34,5,JavaScript,0.9949,12260,57602,0.2128398319502795,MIT License,true,2
scutan90/DeepLearning-500-questions,8.17,302,0,791,JavaScript,0.4219,15873,57575,0.27569257490230137,GNU General Public License v3.0,false,2
karpathy/nanochat,0.87,84,0,24,Python,0.8417,8005,57548,0.1391012719816501,MIT License,false,3
deepfakes/faceswap,8.69,370,5,21,Python,0.9890,13490,57500,0.2346086956521739,GNU General Public License v3.0,true,3
zylon-ai/private-gpt,3.32,312,14,1,Python,0.9984,7611,57470,0.1324343135548982,Apache License 2.0,true,7
remotion-dev/remotion,6.17,6288,677,0,TypeScript,0.9549,4342,57425,0.07561166739225077,Other,true,19
wasabeef/awesome-android-ui,11.67,91,0,82,Não informado,0.8120,10256,57357,0.1788099098627892,MIT License,false,0
BerriAI/litellm,3.09,14913,1000,0,Python,0.8661,10917,57333,0.1904138977552195,Other,true,15
Textualize/rich,6.79,869,177,64,Python,0.8436,2307,57249,0.04029764712047372,MIT License,true,3
appwrite/appwrite,7.38,5309,132,0,TypeScript,0.8839,5671,57129,0.09926657214374486,"BSD 3-Clause ""New"" or ""Revised"" License",true,5
FuelLabs/fuel-core,6.00,1659,130,1,Rust,0.8597,2863,56885,0.050329612375846,Other,true,5
soimort/you-get,14.02,582,123,2,Python,0.0000,9698,56871,0.17052627877125423,Other,true,3
ageitgey/face_recognition,9.48,95,2,62,Python,0.4380,13697,56683,0.24164211491981724,MIT License,true,3
remix-run/react-router,12.28,3657,344,0,TypeScript,0.9881,10911,56573,0.19286585473635834,MIT License,true,6
golang-standards/project-layout,8.96,98,0,120,Makefile,0.3793,5427,56498,0.0960564975751354,Other,false,1
Raphire/Win11Debloat,5.83,134,38,2,PowerShell,0.9309,2395,56297,0.04254223138000249,MIT License,true,2
Zie619/n8n-workflows,1.29,34,1,63,Python,0.7547,7549,56292,0.13410431322390393,MIT License,true,9
jellyfin/jellyfin,7.71,5646,113,0,C#,0.9571,5360,56227,0.09532786739466804,GNU General Public License v2.0,true,4
diegosouzapw/OmniRoute,0.53,6098,280,0,TypeScript,0.9825,7719,56148,0.13747595640094037,MIT License,true,11
laurent22/joplin,9.61,6024,418,0,TypeScript,0.9255,6246,56115,0.11130713712910986,Other,true,20
gatsbyjs/gatsby,11.27,18304,158,5,JavaScript,0.9846,10128,55941,0.1810478897409771,MIT License,true,13
azl397985856/leetcode,8.41,257,40,406,JavaScript,0.9612,9374,55750,0.16814349775784754,Other,true,3
typst/typst,6.92,2507,30,0,Rust,0.7298,1692,55686,0.030384656825773085,Apache License 2.0,true,6
firstcontributions/first-contributions,9.93,103690,0,0,Não informado,0.9888,108440,55685,1.9473825985453892,MIT License,true,0
twentyhq/twenty,3.74,14388,105,0,TypeScript,0.9840,8711,55592,0.15669520794358902,Other,true,12
FlowiseAI/Flowise,3.41,1820,85,13,TypeScript,0.7381,24953,55396,0.450447685753484,Other,true,9
PowerShell/PowerShell,10.62,8475,214,0,C#,0.9049,8437,55132,0.15303272146847566,MIT License,true,8
AntonOsika/gpt-engineer,3.33,351,21,469,Python,0.9364,7295,55120,0.13234760522496372,MIT License,true,5
TryGhost/Ghost,13.31,18577,1000,0,JavaScript,0.9959,11924,55065,0.21654408426405158,MIT License,true,9
jingyaogong/minimind,2.08,12,2,5,Python,0.9575,7179,55034,0.13044663299051495,Apache License 2.0,false,1
romkatv/powerlevel10k,7.50,170,33,11,Shell,0.9511,2445,54980,0.04447071662422699,MIT License,false,3
ngosang/trackerslist,10.34,1,0,0,Não informado,0.9778,6591,54973,0.11989522129045167,GNU General Public License v2.0,false,0
facebookresearch/segment-anything,3.43,16,0,707,Jupyter Notebook,0.2535,6354,54759,0.11603572015559087,Apache License 2.0,false,3
agalwood/Motrix,7.69,268,34,0,TypeScript,0.9111,4998,54605,0.09153007966303452,Other,true,8
WerWolv/ImHex,5.79,786,82,0,C++,0.7839,2448,54571,0.04485899103919664,GNU General Public License v2.0,true,7
wagoodman/dive,8.29,164,28,254,Go,0.5479,1998,54502,0.03665920516678287,MIT License,true,3
lencx/ChatGPT,3.72,123,34,727,Rust,0.2914,6136,54460,0.11266984943077488,Não informado,false,5
maybe-finance/maybe,2.65,1073,28,397,Ruby,0.0000,5677,54312,0.10452570334364412,GNU Affero General Public License v3.0,true,6
vuejs/core,8.21,4081,293,0,TypeScript,0.9083,9187,54251,0.1693425005990673,MIT License,true,6
psf/requests,15.53,1698,19,1,Python,0.9645,10101,54247,0.18620384537393772,Apache License 2.0,true,2
stablyai/orca,0.45,8138,937,0,TypeScript,0.5023,3732,54238,0.06880784689700947,MIT License,true,15
ElemeFE/element,9.98,3228,145,736,Vue,0.8522,14408,54059,0.2665236130894023,MIT License,true,5
odoo/odoo,12.29,6183,0,0,Python,0.8028,33528,53972,0.6212109982954125,Other,false,12
google/material-design-icons,11.88,50,16,12,Não informado,0.7416,9742,53821,0.18100741346314636,Apache License 2.0,true,0
mozilla/pdf.js,15.34,9247,88,0,JavaScript,0.9654,10660,53786,0.1981928382850556,Apache License 2.0,true,6
freqtrade/freqtrade,9.28,6707,116,1,Python,0.9958,11157,53660,0.20792023853894895,GNU General Public License v3.0,true,8
aaif-goose/goose,2.01,6040,147,0,Rust,0.9539,6117,53527,0.11427877519756384,Apache License 2.0,true,14
necolas/normalize.css,15.31,56,0,805,CSS,0.9093,10338,53518,0.1931686535371277,MIT License,false,1
JetBrains/kotlin,14.53,3720,301,0,Kotlin,0.0000,6398,53352,0.11992052781526466,Não informado,false,23
chinese-poetry/chinese-poetry,9.98,138,1,70,JavaScript,0.4220,10713,53263,0.20113399545650826,MIT License,true,2
microsoft/VibeVoice,1.00,41,0,33,Python,0.4836,6002,53222,0.11277291345684115,MIT License,false,1
ggml-org/whisper.cpp,3.92,1043,40,1,C++,0.4557,6097,53198,0.11460957178841309,MIT License,true,22
vsouza/awesome-ios,12.13,2256,0,63,Swift,0.9880,6999,53176,0.131619527606439,MIT License,true,1
lyswhut/lx-music-desktop,7.03,103,113,1,TypeScript,0.5152,6964,53093,0.1311660670898235,Apache License 2.0,true,5
dockur/windows,2.62,936,127,0,Shell,0.9846,4675,53035,0.08814933534458376,MIT License,true,3
hesreallyhim/awesome-claude-code,1.35,221,0,0,Python,0.5495,4629,53030,0.08729021308693193,Other,true,2
sickcodes/Docker-OSX,6.23,109,0,288,Shell,0.4213,2891,52885,0.054665784248841824,GNU General Public License v3.0,true,4
ionic-team/ionic-framework,13.02,6811,951,0,TypeScript,0.9746,13318,52629,0.25305439966558363,MIT License,true,9
jesseduffield/lazydocker,7.28,195,47,129,Go,0.5205,1686,52620,0.03204104903078677,MIT License,true,3
lllyasviel/Fooocus,3.05,448,21,268,Python,0.8514,8569,52550,0.16306374881065652,GNU General Public License v3.0,true,6
bmad-code-org/BMAD-METHOD,1.37,848,39,0,JavaScript,0.9029,5956,52338,0.11379876953647446,Other,true,7
prettier/prettier,9.74,10257,144,0,JavaScript,0.8418,4986,52211,0.09549711746566815,MIT License,true,6
VoltAgent/awesome-openclaw-skills,0.58,153,0,3,Não informado,0.9767,5005,52196,0.09588857383707564,MIT License,true,0
xai-org/grok-1,2.44,5,0,726,Python,0.0000,8541,52186,0.1636645843712873,Apache License 2.0,false,1
etcd-io/etcd,13.14,10629,292,0,Go,0.9837,10468,52179,0.20061710649878303,Apache License 2.0,true,6
anthropics/claude-cookbooks,3.03,198,0,7,Jupyter Notebook,0.6449,6220,52171,0.1192233233022177,MIT License,true,9
google/guava,12.24,1451,60,0,Java,0.8319,11194,51890,0.21572557332819425,Apache License 2.0,true,4
run-llama/llama_index,3.82,7948,433,0,Python,0.9744,8029,51884,0.15474905558553698,MIT License,true,8
dkhamsing/open-source-ios-apps,11.58,1723,37,0,Não informado,1.0000,6053,51862,0.1167135860553006,Creative Commons Zero v1.0 Universal,true,0
expo/expo,10.03,23993,0,0,TypeScript,0.9857,13653,51839,0.26337313605586526,MIT License,true,17
poteto/hiring-without-whiteboards,9.45,1337,0,2,JavaScript,0.0000,3924,51713,0.0758803395664533,MIT License,true,1
Avik-Jain/100-Days-Of-ML-Code,8.14,6,0,971,Não informado,0.0000,11604,51676,0.224552983977088,MIT License,false,0
jekyll/jekyll,17.85,3205,112,23,Ruby,0.9737,10300,51654,0.19940372478414062,MIT License,true,11
dbeaver/dbeaver,10.85,7415,254,0,Java,0.8422,4356,51552,0.08449720670391062,Apache License 2.0,true,9
jamiepine/voicebox,0.58,147,25,17,TypeScript,0.2785,6427,51537,0.12470652152822244,MIT License,true,9
charlax/professional-programming,10.80,44,0,42,Python,0.9697,4018,51448,0.0780982739853833,MIT License,false,2
DefinitelyTyped/DefinitelyTyped,13.89,53509,1,0,TypeScript,0.9314,30389,51407,0.5911451747816445,Other,true,3
ethereum/go-ethereum,12.67,9300,232,0,Go,0.9773,22124,51314,0.4311493939275831,GNU Lesser General Public License v3.0,true,16
justjavac/wechat-miniapp-radar,9.92,313,0,19,TypeScript,1.0000,9004,51188,0.17590060170352426,GNU General Public License v3.0,true,3
calesthio/OpenMontage,0.41,110,0,4,Python,0.3864,6443,51163,0.12593084846471084,GNU Affero General Public License v3.0,true,7
CherryHQ/cherry-studio,2.26,5141,278,0,TypeScript,0.9144,4877,51100,0.095440313111546,GNU Affero General Public License v3.0,true,6
Semantic-Org/Semantic-UI,13.38,356,154,637,JavaScript,0.8453,4855,51027,0.09514570717463304,MIT License,false,3
cypress-io/cypress,11.48,8878,403,0,TypeScript,0.9345,3647,51000,0.07150980392156862,MIT License,true,10
bannedbook/fanqiang,11.62,3,3,5,Kotlin,0.6005,8338,50898,0.1638178317419152,Não informado,false,11
nlohmann/json,13.15,1161,45,1,C++,0.9778,7478,50471,0.1481642923659131,MIT License,true,10
Alishahryar1/free-claude-code,0.58,352,0,0,Python,0.6822,8150,50310,0.16199562711190618,MIT License,true,8
Lordog/dive-into-llms,2.38,11,1,320,Jupyter Notebook,0.6538,6027,50258,0.11992120657407776,Não informado,false,1
mastodon/mastodon,10.51,20695,361,0,Ruby,0.6698,7489,50254,0.1490229633462013,GNU Affero General Public License v3.0,true,11
skylot/jadx,13.44,654,35,7,Java,0.7975,5737,50219,0.11423963041876581,Apache License 2.0,true,5
TanStack/query,6.96,3888,1000,0,TypeScript,0.9805,4195,50211,0.08354742984604967,MIT License,true,6
serhii-londar/open-source-mac-os-apps,8.81,615,0,4,Não informado,0.9017,2730,50172,0.054412819899545564,Creative Commons Zero v1.0 Universal,true,0
AlistGo/alist,5.67,976,149,4,Go,0.8839,7933,50095,0.1583591176764148,GNU Affero General Public License v3.0,true,4
jgthms/bulma,10.59,646,22,178,CSS,0.8739,3883,50060,0.07756691969636437,MIT License,true,5
chenglou/pretext,0.47,7,0,64,TypeScript,0.5208,2734,50055,0.05461991809010089,MIT License,true,2
chen08209/FlClash,3.03,2,106,0,Dart,0.7390,3149,50022,0.06295230098756548,GNU General Public License v3.0,true,15
tldraw/tldraw,5.30,5630,134,0,TypeScript,0.8318,3485,49972,0.0697390538701673,Other,true,10
huginn/huginn,13.46,1186,1,0,Ruby,0.7209,4303,49856,0.08630856867779205,MIT License,true,8
NARKOZ/hacker-scripts,10.76,63,0,1038,JavaScript,0.6415,6656,49808,0.13363315130099582,Não informado,false,16
ChromeDevTools/chrome-devtools-mcp,0.96,1151,59,0,TypeScript,0.8591,3486,49751,0.07006894333782236,Apache License 2.0,true,3
roboflow/supervision,3.74,1396,41,1,Python,0.9305,4726,49744,0.09500643293663558,MIT License,true,1
jakevdp/PythonDataScienceHandbook,10.04,28,0,791,Jupyter Notebook,0.4085,19091,49705,0.38408610803742077,MIT License,false,6
hugohe3/ppt-master,0.71,32,23,0,Python,0.9449,3996,49600,0.08056451612903226,MIT License,false,4
pandas-dev/pandas,16.01,29469,122,0,Python,0.9093,20291,49562,0.4094064000645656,"BSD 3-Clause ""New"" or ""Revised"" License",true,10
kelseyhightower/kubernetes-the-hard-way,10.14,73,0,503,Não informado,0.9369,15836,49553,0.31957701854579945,Apache License 2.0,false,0
hashicorp/terraform,12.45,13664,438,0,Go,0.9191,10618,49542,0.2143232005167333,Other,true,5
rohitg00/ai-engineering-from-scratch,0.44,188,2,3,Python,0.7722,8626,49541,0.17411840697604006,MIT License,true,10
ClickHouse/ClickHouse,10.23,69795,836,0,C++,0.8356,8859,49464,0.17909995147986416,Apache License 2.0,true,26
apple/container,1.24,736,21,0,Swift,0.6549,1746,49425,0.035326251896813356,Apache License 2.0,true,4
astral-sh/ruff,4.05,16129,424,0,Rust,0.7935,2363,49342,0.047890235499169063,MIT License,true,8
x64dbg/x64dbg,11.38,830,6,2,C++,0.7904,2828,49304,0.05735842933636216,Other,true,9
Homebrew/brew,10.47,15315,510,0,Ruby,1.0000,11302,49283,0.22932857171844245,"BSD 2-Clause ""Simplified"" License",true,9
GokuMohandas/Made-With-ML,7.81,147,1,174,Jupyter Notebook,0.7662,7730,49231,0.15701488899270785,MIT License,true,4
JuliaLang/julia,15.35,27836,203,0,Julia,0.8621,5970,49037,0.12174480494320615,MIT License,true,18
bigskysoftware/htmx,6.37,1194,32,0,JavaScript,0.6450,1634,49020,0.03333333333333333,Other,true,6
metabase/metabase,11.56,46676,827,0,Clojure,0.8541,6773,48946,0.13837698688350428,Other,true,12
router-for-me/CLIProxyAPI,1.15,707,823,0,Go,0.9689,7515,48883,0.1537344271014463,MIT License,true,4
akullpp/awesome-java,12.13,808,0,2,Não informado,1.0000,7711,48854,0.15783763867851147,Creative Commons Attribution Share Alike 4.0 International,true,0
tmux/tmux,11.23,37,44,0,C,0.9962,2855,48838,0.0584585773373193,ISC License,true,9
upscayl/upscayl,4.07,106,29,6,TypeScript,0.9491,2451,48763,0.05026351947173061,GNU Affero General Public License v3.0,true,5
KRTirtho/spotube,5.53,261,44,5,Dart,0.6179,2265,48711,0.04649873745149966,Other,true,20
mudler/LocalAI,3.44,6791,136,0,Go,0.9347,4393,48696,0.09021274848036799,MIT License,true,14
algorithm-visualizer/algorithm-visualizer,10.28,183,0,808,JavaScript,0.6111,7579,48694,0.15564545939951535,MIT License,false,5
DovAmir/awesome-design-patterns,8.23,30,0,670,Não informado,0.3529,3300,48693,0.06777154827182552,Não informado,false,0
iamkun/dayjs,8.38,730,129,8,JavaScript,0.4759,2467,48664,0.05069455860595101,MIT License,true,1
nilbuild/design-patterns-for-humans,9.52,50,0,632,Não informado,0.9038,5559,48541,0.11452174450464556,Não informado,false,0
Aider-AI/aider,3.30,288,93,96,Python,0.6918,4891,48512,0.10082041556728233,Apache License 2.0,true,10
type-challenges/type-challenges,6.09,600,0,102,TypeScript,0.1098,5272,48474,0.10875933490118414,MIT License,true,5
moeru-ai/airi,1.73,1261,82,0,TypeScript,0.8355,4793,48448,0.09893081241743726,MIT License,true,15
HKUDS/CLI-Anything,0.47,199,3,5,Python,0.6288,4489,48298,0.09294380719698538,Apache License 2.0,true,7
slidevjs/slidev,5.34,907,430,1,TypeScript,0.8655,2161,48283,0.04475695379326057,MIT License,true,5
brillout/awesome-react-components,10.17,343,0,212,Não informado,0.7377,3835,48273,0.07944399560831106,Creative Commons Zero v1.0 Universal,true,0
ReactiveX/RxJava,13.63,3593,267,2,Java,0.9970,7591,48204,0.15747655796199486,Apache License 2.0,true,3
pixijs/pixijs,13.59,3892,310,0,TypeScript,0.9532,5065,48074,0.1053584057910721,MIT License,true,8
lukasz-madon/awesome-remote-job,11.65,628,0,10,Não informado,0.7813,4765,48070,0.09912627418348242,Não informado,true,0
microsoft/qlib,6.03,756,23,34,Python,0.7190,7602,47958,0.15851369948705116,MIT License,true,6
calcom/cal.diy,5.43,13099,611,18,TypeScript,0.8804,14933,47945,0.3114610491187819,MIT License,true,12
moment/moment,15.49,763,1,3,JavaScript,0.9789,6977,47914,0.14561506031640023,MIT License,true,3
karan/Projects,13.15,19,0,742,Não informado,0.3980,10614,47891,0.2216282808878495,MIT License,false,0
bevyengine/bevy,6.60,8668,58,0,Rust,0.6721,4781,47874,0.0998663157454986,Apache License 2.0,true,4
multica-ai/multica,0.62,3326,147,0,Go,0.6641,6140,47839,0.12834716444741737,Other,true,12
gogs/gogs,12.54,1961,98,0,Go,0.8197,5076,47774,0.10625026164859547,MIT License,true,10
discourse/discourse,13.62,37372,1,0,Ruby,0.0000,9006,47734,0.18867054929400429,GNU General Public License v2.0,true,9
GitHubDaily/GitHubDaily,7.66,3,0,238,Não informado,0.2014,4690,47713,0.09829606186993063,Não informado,false,0
minimaxir/big-list-of-naughty-strings,11.05,89,0,860,Python,0.3168,2153,47712,0.04512491616364856,MIT License,false,4
oobabooga/textgen,3.68,1273,113,9,Python,0.8090,5983,47583,0.12573818380514049,GNU Affero General Public License v3.0,true,7
prisma/orm,7.18,7085,259,0,TypeScript,0.7947,2533,47562,0.053256801648374756,Apache License 2.0,true,3
acmesh-official/acme.sh,10.67,1629,48,4,Shell,0.9884,5657,47549,0.11897200782350838,GNU General Public License v3.0,true,2
jeecgboot/JeecgBoot,7.75,133,65,0,Java,0.9974,16164,47483,0.34041657014089255,Apache License 2.0,false,9
nvm-windows/nvm,11.93,108,23,0,Go,0.9381,3876,47475,0.08164296998420222,MIT License,true,5
HKUDS/nanobot,0.57,1573,19,0,Python,0.8610,8369,47425,0.17646810753821823,MIT License,true,8
dypsilon/frontend-dev-bookmarks,13.18,129,1,827,Não informado,0.7009,5143,47420,0.10845634753268663,Não informado,false,0
kepano/obsidian-skills,0.65,16,0,79,Não informado,0.4255,3399,47333,0.07181036486172437,MIT License,false,0
slab/quill,14.07,382,95,397,TypeScript,0.8498,3665,47319,0.07745303155180794,"BSD 3-Clause ""New"" or ""Revised"" License",true,8
KeygraphHQ/shannon,0.91,131,21,0,TypeScript,0.8857,5431,47222,0.11500995298801406,GNU Affero General Public License v3.0,true,5
elder-plinius/CL4R1T4S,1.48,0,0,11,Não informado,0.1026,9553,47161,0.20256143847670746,GNU Affero General Public License v3.0,false,0
typescript-cheatsheets/react,8.23,387,0,89,TypeScript,1.0000,4276,47096,0.09079327331408188,MIT License,true,3
exo-explore/exo,2.17,771,16,1,Python,0.7940,3463,47079,0.073557212345207,Apache License 2.0,true,11
lysine-dev/okhttp,14.09,4179,0,3,Kotlin,0.9786,9294,47053,0.1975219433404884,Apache License 2.0,true,3
gedoor/legado,7.27,0,0,91,Kotlin,0.0000,5538,47040,0.11772959183673469,Não informado,false,10
v2ray/v2ray-core,10.98,203,247,44,Go,0.9988,8815,46932,0.18782493820847182,MIT License,true,5
serverless/serverless,11.35,5144,494,0,JavaScript,0.8328,5725,46918,0.12202139903661707,Other,true,11
hiroi-sora/Umi-OCR,4.42,58,31,279,Python,0.5947,4586,46880,0.09782423208191127,MIT License,false,2
SimplifyJobs/Summer2027-Internships,6.26,1675,0,0,Python,0.9877,3240,46825,0.06919380672717565,Não informado,true,1
Asabeneh/30-Days-Of-JavaScript,6.68,100,0,263,JavaScript,0.3444,10464,46739,0.22388155501829307,Não informado,false,2
zhayujie/CowAgent,4.05,416,81,0,Python,0.9913,10328,46692,0.2211942088580485,MIT License,true,9
apache/airflow,11.37,39848,126,0,Python,0.9270,17684,46611,0.3793954216815773,Apache License 2.0,true,17
microsoft/monaco-editor,10.22,670,189,1,JavaScript,0.8074,4112,46593,0.08825360032622927,MIT License,true,6
usebruno/bruno,3.91,2698,172,0,JavaScript,0.7035,2819,46565,0.060539031461398045,MIT License,true,9
QuantumNous/new-api,2.79,1285,513,0,Go,0.7826,11025,46452,0.23734177215189872,GNU Affero General Public License v3.0,true,9
9001/copyparty,7.25,211,346,2,Python,0.7793,1892,46402,0.04077410456445843,MIT License,false,12
LeCoupa/awesome-cheatsheets,8.80,175,0,136,JavaScript,0.5980,6696,46398,0.14431656536919696,MIT License,false,7
DavidHDev/react-bits,2.06,214,0,0,JavaScript,0.9943,2216,46213,0.04795187501352433,Other,false,4
docker/awesome-compose,6.53,153,0,1,HTML,0.3072,8294,46173,0.1796287873865679,Creative Commons Zero v1.0 Universal,true,15
iina/iina,9.69,1029,51,0,Swift,0.5956,2905,46097,0.06301928541987548,GNU General Public License v3.0,true,7
ziishaned/learn-regex,9.10,132,0,365,Não informado,0.4138,6133,46084,0.1330830657061019,MIT License,false,0
RocketChat/Rocket.Chat,11.27,16958,1000,0,TypeScript,0.8541,13822,46031,0.3002759010232235,Other,true,12
jgm/pandoc,16.44,1802,158,0,Haskell,0.8855,3950,46031,0.08581173556950751,GNU General Public License v2.0,true,18
cli/cli,6.90,3170,201,0,Go,0.8415,8921,46008,0.19390106068509824,MIT License,true,5
siyuan-note/siyuan,5.99,955,949,0,TypeScript,0.9970,2963,45995,0.06442004565713665,GNU Affero General Public License v3.0,true,14
coqui-ai/TTS,6.27,467,98,740,Python,0.9984,6146,45953,0.13374534850825845,Mozilla Public License 2.0,true,7
helix-editor/helix,6.24,4875,30,0,Rust,0.8163,3699,45941,0.08051631440325635,Mozilla Public License 2.0,true,9
DIYgod/RSSHub,8.40,13210,0,0,TypeScript,0.9509,10151,45898,0.22116432088544163,GNU Affero General Public License v3.0,true,6
zhongyang219/TrafficMonitor,9.08,79,27,7,C++,0.3580,3768,45884,0.0821201290210095,Other,true,3
abhigyanpatwari/GitNexus,1.06,1273,0,0,TypeScript,0.7652,5061,45804,0.11049253340319623,Other,true,21
milvus-io/milvus,6.94,27062,170,0,Go,0.9438,4199,45804,0.09167321631298576,Apache License 2.0,true,13
android/architecture-samples,10.56,233,0,2,Kotlin,0.7042,11862,45801,0.2589899783847514,Apache License 2.0,true,1
karanpratapsingh/system-design,4.03,14,0,49,Não informado,0.8400,5991,45799,0.13081071639118758,Other,false,0
coreyhaines31/marketingskills,0.61,221,44,2,JavaScript,0.7753,7160,45752,0.15649589089001573,MIT License,true,3
google/zx,5.31,617,100,12,JavaScript,0.9597,1288,45703,0.028181957420738243,Apache License 2.0,true,3
streamlit/streamlit,7.01,8430,126,0,Python,0.8375,4368,45620,0.0957474791758001,Apache License 2.0,true,8
ColorlibHQ/AdminLTE,12.67,1583,100,0,Astro,1.0000,18169,45556,0.39882781631398717,MIT License,true,7
Leaflet/Leaflet,15.93,3327,34,2,JavaScript,0.9254,6150,45524,0.13509357701432212,"BSD 2-Clause ""Simplified"" License",true,4
sickn33/agentic-awesome-skills,0.61,828,192,0,Python,1.0000,6660,45475,0.14645409565695436,MIT License,true,14
jestjs/jest,12.71,5976,217,1,TypeScript,0.9829,6731,45474,0.14801864801864803,MIT License,true,5
MHSanaei/3x-ui,3.54,1062,125,2,Go,0.9735,9062,45381,0.19968709371763513,GNU General Public License v3.0,true,8
isocpp/CppCoreGuidelines,11.02,830,4,20,CSS,0.8086,5555,45276,0.12269193391642372,Other,true,4
grpc/grpc,11.72,20877,375,0,C++,0.9458,11365,45262,0.2510936326278114,Apache License 2.0,true,25
fastapi/full-stack-fastapi-template,7.51,732,15,1,TypeScript,1.0000,8977,45179,0.1986985103698621,MIT License,true,7
GitSquared/edex-ui,9.58,399,29,1771,JavaScript,0.9893,3192,45054,0.07084831535490745,GNU General Public License v3.0,true,3
pyenv/pyenv,13.99,1116,165,0,Shell,0.9733,3266,45046,0.07250366292234604,MIT License,true,7
DataTalksClub/data-engineering-zoomcamp,4.85,462,0,1,Jupyter Notebook,1.0000,8799,45000,0.19553333333333334,Não informado,false,7
react-hook-form/react-hook-form,7.48,2325,619,0,TypeScript,0.9998,2466,44839,0.05499676620798858,MIT License,true,4
mitmproxy/mitmproxy,16.52,2848,81,0,Python,0.9003,4696,44820,0.10477465417224453,MIT License,true,10
meteor/meteor,14.60,2934,0,0,JavaScript,0.9790,5240,44813,0.11693035503090621,Other,true,17
